userName,content,score,at
soeryadi theo,"capek² download, malah gak bisa daftar dengan alasan email/no hp sudah terdaftar......",1,2026-02-25 06:38:32
Aisya Umami,"gabisa daftar, hapus aja apk nya",1,2026-02-25 01:45:53
Adriene Ad,aplikasi dk baguss,1,2026-02-19 06:37:36
Hendra Hasim CPL (HENDRA HASIM),enakk kopinya,5,2026-02-17 06:35:53
Bayu 426,kupon hilang setelah top up,1,2026-02-15 10:08:04
Vanny Amalia,"overall bagus, cuman untuk ketersediaan store yang ada dimalang ga semua store masuk. kyk sore di Ijen contohnya, masa kalah sama aplikasi kompetitor kyk kopken, fore",3,2026-02-08 02:09:54
fahmi husen,Coba,5,2026-01-26 10:03:13
Lia fashionsby2,aplikasi gak guna. udah daftar kok gak bisa sign in,1,2026-01-22 07:56:47
Melvan Harefa,aplikasi paling jelek yg saya temukan,1,2026-01-18 05:35:47
Jeffri Saputra Hutauruk,Pelayanan buruk pantas sepi 😁😁😁 Lokasi Pematangsiantar. Pindah haluan ke fore yg super ramah.,1,2026-01-16 14:16:14
Liya Listika,"sumpah gak paham sama aplikasi ini, isi e-code malah exp. mohon kalau buat aplikasi yg bagus dong masa download intruksinya membingungkan, maaf saya hapus lagi aplikasinya.",1,2026-01-15 12:00:47
Adipati premium,keren banget,5,2026-01-13 06:17:00
Marcelino Fortis Sembiring,"ini gimna nii tiba2 ke logout, kirim lupa password di email yang terdaftar tidak bisa terus",1,2026-01-08 05:08:17
Medina Sukmawati,aplikasi ccd baru isi saldo tbtb keluar sendiri trus ga bisa masuk lg padahal email sama password nya bener!!!,1,2026-01-08 05:02:23
Muhammad Rudiansyah,Tidak bisa mengirim otp,1,2026-01-06 22:42:17
ros mhia,GK bisa masuk2,1,2026-01-04 04:36:49
Pendi Y larosa,"udah join, otp udah masuk tapi tiba mau login tetap invalid",1,2025-12-31 08:28:42
farhandhofin rizki,bintang 1,1,2025-12-16 10:14:37
Refangga Adittia,mantap,5,2025-12-16 06:43:57
rudi hermawan,nice shoot,5,2025-12-15 07:55:51
MARHAMAH MEMEM,kok klik join gk bisa bisa buat daftar .. padahal otp udah terkirim dan benar . tp GK bisa klik join sekarang di paling bawah . Aplikasi apa ini .. baru kali ini sy melihat aplikasi seperti ini daftar gk bisa . gimana mau login dan order wkwkwkwk......,1,2025-12-05 14:02:40
Agus Budi Laksono,"tolong lah jaman udah maju,masa sampe sekarang ga bisa pakai pembayaran Qris atau E-wallet lainnya sih., sampe kapan Starbucks nyediain cuman bisa top up 50k?",1,2025-12-05 00:01:10
Syariful Alam,"Saya order 2 kopi di Starbuck Green Terrace Taman Mini Jakarta. Tanggal 27-11-2025. sekitar pukul 13.00an Kasir perempuan gemuk dan kasir cowok, menipu saya dengan mengatakan saya dapat gratis Tuna..., tapi di bill saya ditagih Tiga Item termasuk harga Tuna.... tersebut. Kalau bukan strategi resmi Starbuck, Mohon keduanya dipecat. Terima Kasih",1,2025-11-27 12:23:42
Naomi Nazhifa,aplikasi ini kinerjanya bagus banget,5,2025-11-26 08:23:56
Wildan Maulana,"aneh, brand lokal apps jauh lebih bagus dan fungsional, dan kopi brand lokal lebih enak daripada disini.",1,2025-11-16 04:54:32
Ridho Alfadillah,"udh daftar ga bisa login, lupa password ga dikirim kode Verifikasi",1,2025-11-15 03:55:30
